"00TKCA60M5C","TKC_A60_M5C"
"1BX_716A1A4P5P5S6","R6,CPUB_N1,IO3232M1A*1,IO4848A*1,FRAD8*2,TP10_S6*1"
"1BX_716A1P1SBSBSB","R6,CPUB_N1,IO3232M1A,AD8,TP10_SB*3"
"1BX_716A2A4P1S6V5","R6,CPUB_N1,IO3248M1A,IO4848A,AD8B,TP10A_S6,V8A_V5"
"1BX_716A2A4P5S6V5","R6,IO3248,IO4848,RFAD8,TP10_S6,V8A_V5"
"1BX_716A4A1P1M1M1","R6,CPUB_N1,AD8,IO4848A.IO3232M1A,PWM09*2"
"1BX_716A4A1P1S6S6","R6,700CPUB_N1,AD8,IO4848A.IO3232M1A,S6*2"
"1BX_716A4A1P1S6V5","R6,,IO4848A,IO3232M1A,AD8B,TP10_S6,V8A_V5"
"1BX_716A4A4P1S1V5","RACK6，CPUB_N1，IO4848A*2，AD8B，TP10_S1，V8A_V5"
"1BX_716A4A4P1S6N6","R6,CPUB_N1,IO4848A*2,FRAD8*1,TP10_S6*1,PWM0_N6*1"
"1BX_716A4P1S1S1V1","R6,700CPUB_N1,AD8,IO4848A.S1*1,S1*1,V8A_V1"
"1BX_716A4P1S1S6V1","R6,700CPUB_N1,AD8,IO4848A.S1*1,S6*1,V8A_V1"
"1BX_716A4P1S6S6V1","R6,700CPUB_N1,AD8,IO4848A.S6*2,V8A_V1"
"1BX_716A4P1S6S6V2","R6,700CPUB_N1,AD8,IO4848A.S6*2,V8A_V2"
"1BX_716I1I4P1S1S1","R6,CPUB_N1,IO3232,IO4848,AD8B,S1*2"
"1BX_716I4P1S6S6V1","R6,700CPUB_N1,AD8,IO4848.S6*2,V8X"
"1BX_716SBSBSBSBSB","R6,CPUB_N1,TP10_SB*5"
"1BX_717A1A2P1S1S1V5","R7,CPUB_N1*1,IO3232M1A*1,IO3248M1A*1,AD8B*1,TP10A_S1*1,TP10A_S1*1,V8A_V5*1）"
"1BX_717A1A4P1S1S1V1","R7,CPUB_N1, AD8B,IO3232M1A,TP10A_S1*2,IO4848A,V8A_V1"
